"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","G01Q30_researcher","G01Q30_code","department","sex","birth","year","order","entrance","entrance_other","locality","attempt","attempt_other","activities_education","activities_research","activities_entertainment","activities_socialnet","activities_busdevelop","activities_shopping","activities_gambling","activities_creativity","activities_other","frequency_friends","frequency_cultural","frequency_tavern","frequency_sports","frequency_museum","frequency_excursion","frequency_cinema","dropout_Aca01","dropout_Aca03","dropout_Aca04","dropout_Pers06","dropout_Pers08","dropout_Pers09","dropout_Inst12","dropout_Inst13","dropout_Inst14","dropout_Soc16","dropout_Soc20","dropout_SocNew","dropout_Eco22","dropout_Eco23","dropout_Eco24","affcomm_ac1","affcomm_ac2","affcomm_ac3","affcomm_ac4","affcomm_ac5","affcomm_ac6","burnout_ex01","burnout_ex03","burnout_ex04","burnout_md09","burnout_md11","burnout_md13","burnout_ci14","burnout_ci17","burnout_ci18","burnout_ei19","burnout_ei20","burnout_ei23","burnout_plc01","burnout_plc02","burnout_plc03","burnout_plc04","burnout_plc05","burnout_psc06","burnout_psc07","burnout_psc08","burnout_psc09","burnout_psc10","engagement_VI1","engagement_VI2","engagement_DE2","engagement_DE3","engagement_VI3","engagement_AB3","engagement_DE4","engagement_AB4","engagement_AB5","iat_TM01","iat_TM02","iat_EC03","iat_EC04","iat_TM05","iat_WN06","iat_WN07","iat_WN08","iat_WN09","iat_EC10","iat_EC11","iat_EC12","iat_EC13","iat_TM14","iat_EC15","iat_TM16","iat_TM17","iat_EC18","iat_EC19","iat_EC20","hads01","hads02","hads03","hads04","hads05","hads06","hads07","hads08","hads09","hads10","hads11","hads12","hads13","hads14","interviewtime","groupTime283","G01Q30Time","departmentTime","sexTime","birthTime","yearTime","orderTime","entranceTime","localityTime","attemptTime","activitiesTime","frequencyTime","groupTime282","dropoutTime","affcommTime","burnoutTime","engagementTime","iatTime","groupTime285","hads01Time","hads02Time","hads03Time","hads04Time","hads05Time","hads06Time","hads07Time","hads08Time","hads09Time","hads10Time","hads11Time","hads12Time","hads13Time","hads14Time","lca_class","cluster.x","student_profile","cluster.y","cluster"
16,2023-11-15 15:49:15,3,"el",1324695704,2023-11-15 15:35:49,2023-11-15 15:49:15,"85.75.98.0","Α",11,"phys",1,2005,1,1,1,NA,"N","1",NA,1,1,1,1,NA,1,NA,1,NA,4,3,4,4,3,2,3,6,6,7,2,1,5,5,3,4,5,2,7,7,7,7,"SQ007","SQ007","SQ003","SQ005","SQ004","SQ005",2,3,2,3,1,1,3,2,2,1,1,1,2,2,3,3,1,1,1,1,4,1,2,3,5,4,3,1,6,2,5,4,1,0,2,2,2,1,2,1,2,1,1,0,2,1,4,2,0,1,0,"A0","D1","D0","A0","A1","D0","D0","A0","A1","D0","D1","A0","A1","D0",803.3,117.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.52,NA,NA,NA,NA,NA,240.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"4","Socially_Engaged_Learners","4","4"
17,2023-11-15 16:04:25,3,"el",326047199,2023-11-15 15:49:44,2023-11-15 16:04:25,"85.75.98.0","Α",12,"phys",1,2005,1,2,1,NA,"N","1",NA,NA,1,NA,1,NA,1,NA,NA,NA,2,2,3,3,2,3,2,6,4,4,2,1,3,2,1,3,4,3,2,5,3,4,"SQ004","SQ006","SQ004","SQ004","SQ005","SQ004",4,3,2,4,3,2,5,4,3,2,3,2,2,1,3,1,4,1,1,2,1,1,1,1,2,1,0,1,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"A1","D1","D0","A1","A0","D0","D1","A2","A2","D1","D1","A1","A1","D1",878.06,257.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.31,NA,NA,NA,NA,NA,183.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"1","Socially_Active_Students","1","1"
18,2023-11-15 16:20:40,3,"el",1659081542,2023-11-15 16:05:29,2023-11-15 16:20:40,"85.75.98.0","Α",13,"phys",1,2005,1,1,1,NA,"N","1",NA,1,1,1,NA,NA,NA,NA,NA,NA,4,3,3,2,3,2,3,5,5,6,2,2,5,4,3,5,5,2,6,4,6,4,"SQ005","SQ005","SQ004","SQ003","SQ003","SQ004",3,3,2,3,1,3,2,4,2,2,1,1,3,3,2,1,4,1,1,2,1,1,2,3,4,4,5,3,5,3,4,2,1,0,0,0,1,2,2,0,0,1,0,0,1,0,1,1,0,0,0,"A1","D1","D1","A1","A1","D0","D1","A1","A1","D2","D1","A0","A1","D0",909.33,177.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.76,NA,NA,NA,NA,NA,183.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
19,2023-11-15 16:34:18,3,"el",1813702978,2023-11-15 16:21:28,2023-11-15 16:34:18,"85.75.98.0","Α",14,"phys",1,2005,1,1,1,NA,"1","1",NA,1,NA,1,1,NA,1,NA,NA,NA,4,2,3,3,2,2,2,6,5,6,2,2,6,6,4,5,5,4,5,4,6,4,"SQ005","SQ005","SQ003","SQ003","SQ003","SQ007",2,3,1,3,1,2,4,4,4,2,1,1,3,4,3,1,2,1,1,2,1,2,2,3,4,4,3,2,5,4,5,5,1,1,1,4,2,2,5,3,2,2,1,0,1,3,5,4,2,2,1,"A1","D1","D1","A0","A1","D0","D0","A2","A2","D0","D1","A0","A1","D3",766.42,150.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.42,NA,NA,NA,NA,NA,203.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
20,2023-11-15 16:47:47,3,"el",962520160,2023-11-15 16:35:28,2023-11-15 16:47:47,"85.75.98.0","Α",15,"phys",2,2005,1,4,1,NA,"N","1",NA,1,1,1,1,NA,1,NA,NA,NA,4,3,4,2,2,3,2,7,NA,4,5,6,2,6,6,4,1,1,6,7,6,5,"SQ002","SQ004","SQ006","SQ006","SQ003","SQ002",3,2,2,4,5,2,4,5,2,4,5,1,1,4,4,3,1,1,1,1,1,1,3,4,3,1,2,1,5,0,1,3,1,0,4,5,0,1,3,1,5,2,1,0,2,0,5,2,4,4,0,"A1","D3","D1","A1","A1","D0","D0","A0","A0","D0","D4","A1","A0","D3",736.21,136.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.03,NA,NA,NA,NA,NA,147.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2","Consumer_Oriented_Socialites","2","2"
21,2023-11-15 16:59:07,3,"el",1172365236,2023-11-15 16:48:34,2023-11-15 16:59:07,"85.75.98.0","Α",16,"phys",2,2004,1,1,1,NA,"N","2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,4,3,2,6,5,6,3,2,3,5,5,3,6,4,5,2,4,2,"SQ005","SQ006","SQ002","SQ002","SQ002","SQ006",3,4,4,2,2,3,3,3,4,2,1,1,5,2,4,3,5,3,2,4,1,2,2,1,4,5,1,2,2,5,2,3,1,0,0,0,1,3,1,2,1,2,4,1,3,1,2,0,1,3,0,"A1","D1","D2","A2","A2","D1","D2","A2","A2","D1","D2","A2","A3","D2",630.73,101.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.02,NA,NA,NA,NA,NA,152.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1","Socially_Active_Students","1","1"
22,2023-11-15 17:12:16,3,"el",1252930041,2023-11-15 17:00:01,2023-11-15 17:12:16,"85.75.98.0","Α",17,"phys",2,2005,1,4,1,NA,"N","1",NA,1,NA,1,1,NA,NA,NA,NA,NA,2,1,4,2,2,2,2,6,4,3,3,1,4,3,2,4,4,2,5,4,2,5,"SQ006","SQ006","SQ004","SQ005","SQ001","SQ003",4,5,3,4,4,2,5,5,4,4,5,5,5,5,5,5,2,4,4,3,5,2,1,1,3,2,2,1,3,0,2,2,0,0,0,2,3,5,3,2,4,2,1,1,2,1,4,3,1,0,1,"A3","D3","D2","A1","A1","D0","D1","A2","A3","D1","D4","A3","A2","D2",733.07,170.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.19,NA,NA,NA,NA,NA,125.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2","Consumer_Oriented_Socialites","2","2"
23,2023-11-15 17:24:19,3,"el",1974920175,2023-11-15 17:13:01,2023-11-15 17:24:19,"85.75.98.0","Α",18,"phys",2,2005,1,4,1,NA,"N","1",NA,1,NA,1,1,NA,1,NA,NA,NA,4,2,1,4,2,2,3,5,1,5,1,1,5,6,5,6,2,2,5,4,4,5,"SQ007","SQ003","SQ003","SQ004","SQ001","SQ003",1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,5,3,4,5,5,5,5,5,5,6,6,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,"A1","D1","D0","A1","A0","D0","D0",NA,"A0","D1","D4","A0","A0","D0",675.04,128.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.19,NA,NA,NA,NA,NA,131.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2","Consumer_Oriented_Socialites","2","2"
24,2023-11-15 17:35:00,3,"el",1190916955,2023-11-15 17:25:05,2023-11-15 17:35:00,"85.75.98.0","Α",19,"phys",1,2005,1,1,1,NA,"N","1",NA,1,1,NA,1,NA,NA,NA,NA,1,3,3,2,4,2,2,4,6,4,6,1,1,7,6,5,5,5,3,3,3,6,2,"SQ006","SQ005","SQ002","SQ002","SQ002","SQ006",2,3,1,1,1,1,4,4,2,2,1,1,2,1,2,2,3,1,3,2,2,3,2,2,4,4,3,4,6,4,5,3,2,0,1,0,1,4,2,0,1,1,0,0,1,0,0,1,1,0,1,"A1","D1","D0","A0","A2","D0","D0","A0","A2","D0","D1","A1","A1","D0",593.33,121.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.79,NA,NA,NA,NA,NA,133.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
25,2023-11-15 17:47:02,3,"el",1724018187,2023-11-15 17:35:46,2023-11-15 17:47:02,"85.75.98.0","Α",20,"phys",1,2005,1,1,1,NA,"N","1",NA,1,NA,1,1,NA,NA,NA,NA,NA,4,2,3,3,2,3,3,5,4,5,2,2,6,5,3,5,2,2,6,5,5,2,"SQ007","SQ004","SQ003","SQ002","SQ003","SQ007",2,3,3,2,2,3,4,4,4,2,1,2,2,4,4,2,3,2,1,4,3,3,4,4,4,3,2,4,6,4,3,2,1,2,0,2,3,4,2,1,0,1,0,2,4,1,3,4,2,2,0,"A1","D1","D0","A1","A2","D1","D1","A2","A2","D0","D1","A2","A0","D1",673.71,114.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.84,NA,NA,NA,NA,NA,186.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"1","Socially_Active_Students","1","1"
26,2023-11-15 22:06:48,3,"el",305533856,2023-11-15 21:51:55,2023-11-15 22:06:48,"85.75.98.0","Α",21,"phys",1,2005,1,1,1,NA,"N","1",NA,1,1,1,1,NA,NA,NA,NA,NA,2,3,4,4,2,2,3,4,5,4,2,1,6,5,2,4,2,1,5,6,4,6,"SQ005","SQ006","SQ004","SQ004","SQ002","SQ004",2,1,2,1,1,2,3,3,2,1,1,1,1,2,2,2,3,3,1,2,1,1,2,3,4,4,5,4,4,2,3,3,0,1,1,1,3,1,1,0,1,1,0,0,1,1,3,2,1,0,0,"A1","D1","D0","A1","A1","D1","D0","A0","A1","D1","D1","A0","A0","D1",890.01,156.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.87,NA,NA,NA,NA,NA,179.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
27,2023-11-15 22:23:53,3,"el",1040281744,2023-11-15 22:07:07,2023-11-15 22:23:53,"85.75.98.0","Α",22,"phys",1,2005,1,4,1,NA,"N","1",NA,1,1,1,1,1,1,NA,1,1,3,2,4,4,4,3,2,4,6,3,2,3,5,3,5,4,1,1,6,NA,4,2,"SQ004","SQ005","SQ004","SQ005","SQ002","SQ006",3,2,4,3,3,NA,4,4,5,1,2,3,5,5,4,3,2,1,2,3,3,2,2,3,3,3,2,2,4,2,5,4,2,0,1,3,2,1,2,1,2,0,0,0,1,0,0,4,3,0,0,"A1","D2","D1","A1","A2","D1","D1","A3","A3","D0","D2","A2","A1","D0",1003.47,217.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610.13,NA,NA,NA,NA,NA,175.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3","Balanced_Learners","3","3"
28,2023-11-15 22:37:25,3,"el",1806147282,2023-11-15 22:24:26,2023-11-15 22:37:25,"85.75.98.0","Α",23,"phys",1,2005,1,1,1,NA,"N","1",NA,1,1,1,1,NA,1,NA,1,1,4,5,3,2,5,4,5,3,7,5,1,1,7,3,3,2,7,5,7,6,6,6,"SQ007","SQ006","SQ003","SQ007","SQ001","SQ007",1,1,1,1,1,1,4,4,4,2,1,1,1,4,4,2,4,1,1,1,3,1,5,5,5,5,4,5,6,6,6,5,0,1,0,4,3,1,4,1,1,1,2,0,3,2,3,1,0,0,0,"A2","D1","D1","A1","A2","D0","D3","A3","A3","D2","D1","A1","A3","D0",746.93,137.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.67,NA,NA,NA,NA,NA,178.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4","Socially_Engaged_Learners","4","4"
29,2023-11-15 23:05:22,3,"el",1488367140,2023-11-15 22:48:39,2023-11-15 23:05:22,"85.75.98.0","Α",24,"phys",1,2005,1,1,1,NA,"N","1",NA,NA,1,1,1,NA,1,NA,1,NA,3,2,4,5,2,2,2,5,4,3,3,3,5,4,4,4,3,3,5,4,4,4,"SQ005","SQ001","SQ003","SQ005","SQ005","SQ001",4,3,3,3,2,2,4,4,3,1,1,1,2,3,3,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,3,2,2,2,4,1,4,1,2,2,1,1,3,2,3,3,1,1,1,"A1","D3","D0","A1","A2","D0","D0","A2","A2","D1","D4","A1","A2","D2",999.15,121.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.17,NA,NA,NA,NA,NA,139.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
30,2023-11-15 23:19:04,3,"el",1759136695,2023-11-15 23:06:16,2023-11-15 23:19:03,"85.75.98.0","Α",25,"phys",1,NA,7,1,1,NA,"1","1",NA,NA,NA,1,1,NA,1,1,NA,1,3,2,3,5,2,2,1,2,3,2,6,5,2,5,6,5,1,1,6,6,6,6,"SQ002","SQ003","SQ006","SQ003","SQ005","SQ003",3,3,2,4,3,1,3,3,3,1,1,1,1,3,3,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,0,1,1,3,0,1,1,0,0,2,1,1,0,1,1,1,0,0,"A1","D0","D0","A1","A1","D0","D0","A1","A2","D1","D4","A0","A1","D0",765.05,169.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.25,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1","Socially_Active_Students","1","1"
